A=2644 B=3384 C=9340 X=289930785 Y=4004373832 Z=14985154049 M=6728
A=5443 B=7673 C=6006 X=883166341 Y=1723093231 Z=12895169209 M=1479
A=6103 B=8238 C=9722 X=921626195 Y=8970471903 Z=83611839748 M=2225
A=6831 B=9461 C=5837 X=228778222 Y=7011508489 Z=97128735033 M=2406
A=2996 B=3927 C=8498 X=210496374 Y=3170832122 Z=36865635211 M=8849
A=8818 B=9308 C=7753 X=405637755 Y=8811208861 Z=25898031667 M=7490
A=8945 B=6694 C=5482 X=967818638 Y=9404087450 Z=83089962149 M=1556
A=9220 B=3566 C=6000 X=331906428 Y=3246476825 Z=50996257507 M=2643
A=7380 B=9369 C=8015 X=161747965 Y=9222035994 Z=44183293838 M=5125
A=8561 B=6145 C=8023 X=772945492 Y=1417306911 Z=45487069674 M=6378
A=2185 B=7124 C=9565 X=898353586 Y=2630894909 Z=96698403987 M=5006
A=3768 B=5234 C=6305 X=661509300 Y=1889145472 Z=47984832860 M=3344
A=4017 B=9892 C=7737 X=113729631 Y=1234423840 Z=70413346394 M=5152
A=8010 B=4638 C=8638 X=702236357 Y=4899282683 Z=52780632229 M=2846
A=3480 B=3279 C=5741 X=689471969 Y=2689817271 Z=74675073252 M=5606
A=6297 B=6847 C=7357 X=388234969 Y=4854144609 Z=14854260087 M=5750
A=3556 B=9059 C=5281 X=239551605 Y=9726790171 Z=90695545651 M=2062
A=6213 B=6807 C=9995 X=776053774 Y=9964340919 Z=42550473540 M=7731
A=9501 B=5651 C=8258 X=467944558 Y=5395639996 Z=74327113312 M=8222
A=5732 B=8723 C=9480 X=579526731 Y=1901387533 Z=57381295162 M=7054
A=6352 B=6330 C=6356 X=158189050 Y=6513629421 Z=97013029689 M=3530
A=4519 B=6762 C=8330 X=683126010 Y=3440364785 Z=72890397834 M=2493
A=5403 B=3855 C=9531 X=297153793 Y=6895358885 Z=87316811188 M=6994
A=4416 B=9261 C=9922 X=445745753 Y=4255712236 Z=63532549480 M=1261
A=7739 B=7227 C=7816 X=644388616 Y=2930474784 Z=76693396737 M=6868
A=5467 B=7108 C=8277 X=794716102 Y=1384419312 Z=84420847675 M=8668
A=5252 B=4768 C=6548 X=976096170 Y=8236941410 Z=93374087060 M=2175
A=7362 B=3095 C=7650 X=814196871 Y=7829875537 Z=57993403931 M=6459
A=8714 B=9400 C=9568 X=112397363 Y=2488283859 Z=26133171704 M=7097
A=9539 B=5772 C=5451 X=265957406 Y=7339426335 Z=96183134897 M=5665
A=2197 B=7240 C=9958 X=908150978 Y=4179319502 Z=89258959612 M=1835
A=8413 B=6574 C=6709 X=280892248 Y=6877495098 Z=25237630979 M=9398
A=6908 B=3789 C=5013 X=250203382 Y=6268310646 Z=87187883916 M=3696
A=3738 B=9057 C=9739 X=426238225 Y=3266935439 Z=38786857419 M=1799
A=6564 B=4832 C=5383 X=800261326 Y=8965586138 Z=37105407536 M=6838
A=4455 B=5980 C=5330 X=107511306 Y=7038104537 Z=66593694046 M=3677
A=5544 B=3948 C=6094 X=747677834 Y=9036768074 Z=14133475163 M=2167
A=6387 B=4053 C=6863 X=679087063 Y=5988072581 Z=20912930628 M=3400
A=5360 B=8674 C=9725 X=715801937 Y=6213704257 Z=85902153557 M=8261
A=5384 B=4269 C=6102 X=449968467 Y=9202535592 Z=10475454201 M=5291
A=6908 B=9177 C=5549 X=503700454 Y=7536611574 Z=91527432979 M=6471
A=7416 B=3156 C=8874 X=224833827 Y=2197725616 Z=61358871048 M=9073
A=6188 B=3209 C=5364 X=124186018 Y=7246110317 Z=89774014433 M=9027
A=6685 B=7075 C=8029 X=163985330 Y=3618768110 Z=91097976034 M=5731
A=5285 B=7108 C=8663 X=400750025 Y=4581379950 Z=15107627701 M=9554
A=4090 B=5772 C=9243 X=168403596 Y=5381950128 Z=14179967782 M=1220
A=4504 B=5411 C=6138 X=455255491 Y=8909118790 Z=44855683667 M=9786
A=9188 B=4849 C=5124 X=894091960 Y=8187312477 Z=35669962221 M=8202
A=9980 B=7831 C=6615 X=638956873 Y=7445387482 Z=45774212485 M=8908
A=8071 B=9416 C=9617 X=754724895 Y=1171272764 Z=22455794696 M=8260
A=5380 B=8139 C=7109 X=124004871 Y=4608485181 Z=90882248435 M=7671
A=5808 B=5149 C=6647 X=328414142 Y=4250739318 Z=56413062134 M=4470
A=4876 B=3635 C=6590 X=933533145 Y=6833925328 Z=56458201660 M=3304
A=7241 B=5129 C=8346 X=715831196 Y=4869002850 Z=55193538483 M=7423
A=5299 B=4194 C=8258 X=204520788 Y=2412198573 Z=53349381650 M=3085
A=9756 B=4817 C=5047 X=290011092 Y=6165553130 Z=99379036098 M=3139
A=4249 B=7476 C=8861 X=128132148 Y=7738065007 Z=40950873703 M=6523
A=2251 B=8223 C=7572 X=742574437 Y=6110738885 Z=53514354720 M=6833
A=8517 B=7496 C=8363 X=860110790 Y=8218347955 Z=21739798779 M=4242
A=4165 B=3485 C=6527 X=653648490 Y=6113012572 Z=16498814485 M=9695
A=6073 B=3137 C=8255 X=170525970 Y=6438714417 Z=99634503058 M=2697
A=2106 B=3650 C=5524 X=486934869 Y=5371758837 Z=70648010779 M=5355
A=4764 B=7261 C=5662 X=590805205 Y=3167489876 Z=74676068254 M=6934
A=9500 B=6992 C=8978 X=473106938 Y=8106063674 Z=26348127263 M=6843
A=9161 B=3949 C=6679 X=696557893 Y=6550189885 Z=20583591391 M=5094
A=8317 B=3487 C=6281 X=597475821 Y=7576377508 Z=92562422773 M=9595
A=9460 B=8900 C=8151 X=151513497 Y=8893949380 Z=16389709161 M=2871
A=9501 B=6568 C=7489 X=536717333 Y=3188181288 Z=73430465567 M=4379
A=9086 B=9425 C=9907 X=710739697 Y=3835250531 Z=95572129710 M=5943
A=7039 B=4125 C=6014 X=637361358 Y=5566434749 Z=21419695222 M=8493
A=9563 B=5206 C=6312 X=398252739 Y=6093052038 Z=65611286105 M=9688
A=8388 B=6051 C=9657 X=460005944 Y=7746036427 Z=86111017072 M=4077
A=2831 B=4275 C=7452 X=723284741 Y=7872986358 Z=75526065494 M=5170
A=2273 B=6957 C=5781 X=301121727 Y=6040186565 Z=39129292141 M=7366
A=5368 B=3901 C=8192 X=979051246 Y=7275264810 Z=64967161646 M=9144
A=9030 B=7643 C=5690 X=368049815 Y=2860488551 Z=27310329883 M=1993
A=6518 B=6628 C=6932 X=451086950 Y=6020217434 Z=69741783439 M=6204
A=7014 B=4477 C=9890 X=186868884 Y=7098908530 Z=32190804495 M=4103
A=6309 B=3977 C=9045 X=717430075 Y=9632355619 Z=25943068700 M=3321
A=4108 B=9932 C=9395 X=923181396 Y=9101086017 Z=55206172814 M=5499
A=7865 B=4701 C=8118 X=439758257 Y=1785855620 Z=61898095274 M=2177
A=5937 B=7270 C=5174 X=229489795 Y=7440392053 Z=39693418136 M=6576
A=7596 B=8665 C=6862 X=661944641 Y=6515971276 Z=21609200395 M=4801
A=5889 B=6090 C=5451 X=815116801 Y=4514717006 Z=99040627831 M=3150
A=9591 B=5046 C=7656 X=933746355 Y=9178636987 Z=96716656491 M=4269
A=7718 B=3125 C=5080 X=146893756 Y=8804453120 Z=65422259188 M=2848
A=6761 B=3511 C=8933 X=415911681 Y=7769688934 Z=60831806453 M=4117
A=9615 B=5568 C=6867 X=593998336 Y=1892221388 Z=50296878486 M=5345
A=6722 B=7178 C=7262 X=672776228 Y=5098121109 Z=62816480313 M=1882
A=5808 B=4719 C=7178 X=547986602 Y=1523767287 Z=76904819376 M=5072
A=4221 B=8131 C=7612 X=197421565 Y=6410806834 Z=76234884099 M=4400
A=7106 B=4137 C=5926 X=766460134 Y=5598989574 Z=37804334352 M=5135
A=4189 B=8008 C=6880 X=488678451 Y=4415870420 Z=61319299452 M=7661
A=5881 B=9315 C=7120 X=543791749 Y=7471658506 Z=21537785290 M=8938
A=5507 B=8464 C=6220 X=918983675 Y=2218516088 Z=71483738115 M=8680
A=5710 B=6855 C=8053 X=871812767 Y=3203831538 Z=81776859580 M=4407
A=5875 B=3261 C=6152 X=158577467 Y=5991586032 Z=54591745328 M=5039
A=9296 B=6152 C=8128 X=934883887 Y=7909373714 Z=68306424317 M=2006
A=8350 B=7508 C=8429 X=385961283 Y=2257334999 Z=90041023153 M=7207
A=7361 B=3944 C=5173 X=462039717 Y=7871379463 Z=15456897298 M=3954
A=7144 B=4689 C=7345 X=559539601 Y=5207275736 Z=18903403418 M=2296
A=9113 B=4394 C=7980 X=607064451 Y=1056006051 Z=10736655155 M=8882
A=4699 B=9251 C=6108 X=590224726 Y=3543395848 Z=44305556080 M=4280
A=9233 B=8728 C=7736 X=355292752 Y=4658072887 Z=60625290360 M=6583
A=3223 B=3172 C=6698 X=651224157 Y=6135547808 Z=81057532977 M=4895
A=8904 B=4934 C=6256 X=766204379 Y=2761500068 Z=32100973899 M=5857
A=2498 B=9014 C=7597 X=547364774 Y=2459551812 Z=87209437838 M=3290
A=4535 B=4976 C=6059 X=876606502 Y=8933880410 Z=71489926025 M=5599
A=2016 B=5719 C=6570 X=692148557 Y=9781940845 Z=73467691871 M=1808
A=8658 B=5041 C=6618 X=413644088 Y=8787780909 Z=90509778414 M=3249
A=6500 B=6860 C=9529 X=258716830 Y=6417639957 Z=47497380698 M=6755
A=6986 B=3683 C=9801 X=350262948 Y=7766606334 Z=73683476633 M=6834
A=8847 B=7313 C=7472 X=640094411 Y=5073813388 Z=50720099159 M=2056
A=2243 B=6358 C=9872 X=572924072 Y=5807825784 Z=29648139210 M=2912
A=4113 B=8809 C=7582 X=393378030 Y=8147048130 Z=71378145871 M=2811
A=3157 B=7455 C=9250 X=275591420 Y=2442636158 Z=77098388527 M=6220
A=3355 B=5019 C=6604 X=737889840 Y=8959679327 Z=56519699270 M=3911
A=7737 B=3839 C=5674 X=509216235 Y=8875175096 Z=74494382906 M=9344
A=6016 B=9464 C=5144 X=986457902 Y=2640509309 Z=22896628309 M=1273
A=5608 B=3283 C=6491 X=391491912 Y=3268713100 Z=91330801476 M=3384
A=7003 B=9562 C=9682 X=932285969 Y=5042887186 Z=91647549790 M=2886
A=8412 B=8924 C=5225 X=832715724 Y=4173045896 Z=57465242564 M=2698
A=4146 B=3514 C=5703 X=555380780 Y=4594666635 Z=24237984171 M=8713
A=8277 B=8461 C=5146 X=379984054 Y=4781414175 Z=46643536008 M=2304
A=2788 B=8677 C=8451 X=436700913 Y=6332039910 Z=52111793774 M=8003
A=2400 B=6305 C=8625 X=320692315 Y=3988380534 Z=51313098853 M=4334
A=9838 B=9127 C=9369 X=980754701 Y=2130616382 Z=96308310699 M=3473
A=7743 B=9260 C=7924 X=620861444 Y=3290637449 Z=51615558232 M=6462
A=5038 B=7529 C=5244 X=533012929 Y=5810509286 Z=39584033123 M=2460
A=4924 B=5248 C=6566 X=345424456 Y=8597156767 Z=49932404792 M=5693
A=9274 B=4043 C=8519 X=426136463 Y=9087695690 Z=29198043977 M=8636
A=8155 B=8445 C=9729 X=953256917 Y=6475722172 Z=84219387359 M=8324
A=2464 B=8744 C=5393 X=225906594 Y=7235743134 Z=42933721928 M=3414
A=9911 B=5291 C=6345 X=448514890 Y=9885187772 Z=11861508436 M=5263
A=6980 B=5447 C=9657 X=898173557 Y=9406981081 Z=17201718371 M=8261
A=8762 B=3050 C=6295 X=633510854 Y=4982091503 Z=56141209168 M=2562
A=7136 B=9849 C=5474 X=372512255 Y=1030623451 Z=75521535619 M=1846
A=7150 B=3729 C=6033 X=566671019 Y=6957634740 Z=15730756571 M=8288
A=3313 B=4488 C=7577 X=647017033 Y=5141089704 Z=81760054954 M=3416
A=2082 B=6639 C=9493 X=141017527 Y=5773736427 Z=64958599601 M=8403
A=6733 B=3965 C=9641 X=526016565 Y=8111076838 Z=47605993303 M=1288
A=5477 B=6702 C=5104 X=424513779 Y=5063743234 Z=98202948863 M=7096
A=5070 B=7870 C=8368 X=636698127 Y=8594962983 Z=75610609793 M=4922
A=5936 B=9232 C=6484 X=859252984 Y=3001216111 Z=55766143735 M=4578
A=9475 B=3754 C=8667 X=747250021 Y=4432729213 Z=52180853494 M=8420
A=7349 B=3754 C=5643 X=542977164 Y=3476464666 Z=89566521947 M=2690
A=9533 B=6355 C=7245 X=338913474 Y=8341857186 Z=26772334038 M=7748
A=4860 B=4040 C=9804 X=917288600 Y=6720280909 Z=65187117326 M=6581
A=4309 B=8871 C=8257 X=538526774 Y=4559092309 Z=89674459628 M=9399
A=3298 B=4649 C=8744 X=199926326 Y=2410288315 Z=33826793886 M=3209
A=5503 B=6769 C=6385 X=887226774 Y=8756362189 Z=88355690061 M=3391
A=4417 B=9730 C=6135 X=251925786 Y=9509263076 Z=45603112970 M=4613
A=6980 B=3754 C=7716 X=537343383 Y=8312991944 Z=81589462480 M=1925
A=3782 B=7302 C=5636 X=240089624 Y=6333288037 Z=94740389135 M=5564
A=6111 B=3097 C=6556 X=953205728 Y=2462348223 Z=86896344898 M=5206
A=7875 B=4380 C=8505 X=104655584 Y=2239953244 Z=64826787996 M=6362
A=9278 B=9303 C=8906 X=847413430 Y=9951652302 Z=71236985509 M=1724
A=6976 B=5560 C=5599 X=481753110 Y=9783929148 Z=77249623670 M=9866
A=7132 B=8211 C=7665 X=765322280 Y=4603015720 Z=94382782544 M=9792
A=6304 B=6635 C=6004 X=454777089 Y=3018973495 Z=53857883285 M=2217
A=8490 B=6925 C=8252 X=447351978 Y=8057832603 Z=22623612063 M=1808
A=5249 B=5532 C=9693 X=285895465 Y=3233716952 Z=49970120530 M=9815
A=3341 B=8922 C=5897 X=940760996 Y=6916365918 Z=96444694246 M=6721
A=8838 B=4202 C=6994 X=304215676 Y=8317857136 Z=72843012800 M=3571
A=7748 B=8977 C=9671 X=940504464 Y=6116052063 Z=20428207842 M=1725
A=4326 B=8384 C=7269 X=850969806 Y=1572704106 Z=30270702772 M=4346
A=8722 B=7626 C=8873 X=476703331 Y=9495421137 Z=90253677398 M=4477
A=3546 B=3846 C=5949 X=699645764 Y=7579397760 Z=11713040854 M=5881
A=2222 B=5489 C=5905 X=711945735 Y=3425769350 Z=21665573261 M=8328
A=6337 B=9967 C=8366 X=303255982 Y=7692724772 Z=10740042843 M=4897
A=7491 B=3762 C=6711 X=215185367 Y=8236251798 Z=77894019971 M=4081
A=9225 B=7397 C=9322 X=313836767 Y=4110777318 Z=38955857219 M=1666
A=7881 B=6069 C=9060 X=309772670 Y=9249535618 Z=94290668930 M=9897
A=7592 B=9345 C=8214 X=155582524 Y=1897637148 Z=27313215472 M=4644
A=2072 B=9372 C=9468 X=970993344 Y=9935716678 Z=97752096885 M=8010
A=4324 B=9570 C=7820 X=340865937 Y=4364413524 Z=23926624072 M=3181
A=9629 B=3457 C=9264 X=625452029 Y=9662754832 Z=18527103858 M=3770
A=4054 B=9716 C=8814 X=197035804 Y=1404827320 Z=12326410743 M=8436
A=5204 B=3570 C=8028 X=509649007 Y=9830459025 Z=25502323196 M=1145
A=7582 B=5290 C=6458 X=843984505 Y=7545873999 Z=43658981466 M=7991
A=6137 B=3034 C=5894 X=152571931 Y=2296847298 Z=55262297381 M=6202
A=8138 B=7837 C=5706 X=496316596 Y=6204885810 Z=52150258833 M=7268
A=5033 B=4879 C=7767 X=251172409 Y=7515044164 Z=91987403959 M=5734
A=2503 B=8662 C=9294 X=478056008 Y=4221617910 Z=19046369653 M=4921
A=9537 B=6400 C=5946 X=281370382 Y=5310429146 Z=18051982400 M=7936
A=2728 B=3976 C=5878 X=887514444 Y=3819565962 Z=62230903562 M=4188
A=3619 B=4758 C=5404 X=952742424 Y=5430305986 Z=94271208560 M=3338
A=4970 B=9630 C=6643 X=946794631 Y=7843051022 Z=88911993841 M=6248
A=3995 B=9262 C=9853 X=148565393 Y=4830262687 Z=81887854940 M=2958
A=6543 B=4740 C=8285 X=173542682 Y=2195259655 Z=68741289051 M=5403
A=9586 B=5181 C=7165 X=539252243 Y=7339708517 Z=16155450014 M=4562
A=9790 B=6619 C=5331 X=915700420 Y=3513612905 Z=79489287874 M=6292
A=2491 B=6248 C=6578 X=626069436 Y=1516507118 Z=90127222870 M=5273
A=3893 B=3919 C=8066 X=557660136 Y=5868381124 Z=95935535479 M=3298
A=6816 B=9408 C=9056 X=849640071 Y=7161537998 Z=33590398167 M=8935
A=7946 B=5728 C=8414 X=239124660 Y=7252330806 Z=14259350884 M=2955
A=7591 B=9590 C=6103 X=988756999 Y=9323295556 Z=84172394114 M=7980
A=4715 B=3384 C=7998 X=896290913 Y=7128013157 Z=36885089142 M=7296
A=2354 B=3117 C=8010 X=171308172 Y=6990198700 Z=68932793894 M=9573
A=2343 B=9102 C=6390 X=998467072 Y=9692924076 Z=88107433082 M=6032
A=7345 B=5958 C=5776 X=418549258 Y=4950449613 Z=94678549301 M=1300
A=4194 B=6282 C=7673 X=978734174 Y=8690589195 Z=97828325427 M=5376
A=8564 B=8512 C=7143 X=122052469 Y=1501648980 Z=12861064249 M=1700
A=6047 B=4146 C=5823 X=651286240 Y=7724628135 Z=52537145961 M=3945
A=2826 B=5641 C=8052 X=920766390 Y=1496032189 Z=87247484592 M=1681
A=4573 B=4502 C=9134 X=387547273 Y=7584532740 Z=35576439374 M=4894
A=3944 B=8503 C=9962 X=406173451 Y=2009030440 Z=44173767574 M=1154
A=2502 B=6781 C=6652 X=868643659 Y=6636167408 Z=35728665325 M=2928
A=4073 B=8433 C=8670 X=470469476 Y=6577786810 Z=50504939268 M=8694
A=9167 B=8966 C=8153 X=399367085 Y=2279115394 Z=46631231740 M=9650
A=3741 B=4121 C=9544 X=238143268 Y=2930022748 Z=40155617463 M=2755
A=8514 B=4104 C=9902 X=647456838 Y=4398466012 Z=12163090173 M=5258
A=8135 B=6845 C=6567 X=107307215 Y=9928327384 Z=16769715636 M=7194
A=4131 B=5605 C=7319 X=157620855 Y=2287409442 Z=17511845098 M=1457
A=3887 B=6008 C=8111 X=304061412 Y=2989808484 Z=59682545533 M=8315
A=9389 B=9267 C=8102 X=196849451 Y=8662252825 Z=14732448613 M=3218
A=5724 B=3129 C=5522 X=811468474 Y=1611359726 Z=15419898213 M=2382
A=8308 B=6096 C=7367 X=497420588 Y=1363829763 Z=61085233457 M=5240
A=2922 B=8862 C=5341 X=341806745 Y=3412770797 Z=94010996125 M=6880
A=5391 B=5064 C=6902 X=217718770 Y=3800867311 Z=60193085227 M=9023
A=6271 B=8801 C=5099 X=982008692 Y=5833003099 Z=58317070251 M=7460
A=9894 B=4756 C=5715 X=235839274 Y=5689582791 Z=43425693398 M=8807
A=9152 B=8872 C=9578 X=985816867 Y=6312347247 Z=93417867769 M=5278
A=9027 B=7563 C=7489 X=597717989 Y=9275807340 Z=27059194235 M=9890
A=3451 B=5470 C=9388 X=879058227 Y=4158529241 Z=82633605324 M=2664
A=4452 B=8576 C=7046 X=460457638 Y=2139385796 Z=54654908413 M=8025
A=3464 B=8998 C=8023 X=945362304 Y=2852931866 Z=22586025798 M=5934
A=6649 B=7171 C=5176 X=811760288 Y=8984657869 Z=81076385907 M=1058
A=8892 B=4294 C=8594 X=114137585 Y=3176335993 Z=86098842453 M=1725
A=8708 B=7898 C=6409 X=407418221 Y=4949786132 Z=91354053574 M=7815
A=2593 B=5692 C=6487 X=599724836 Y=7493787614 Z=22194028801 M=3640
A=9335 B=6644 C=8745 X=209718058 Y=4607977150 Z=16201520878 M=1013
A=4373 B=4815 C=5128 X=143202442 Y=8886229191 Z=59095919353 M=7325
A=4548 B=8357 C=7424 X=445822027 Y=3960314378 Z=62248599965 M=2723
A=8342 B=9959 C=9487 X=685507081 Y=9382005401 Z=27960254397 M=5098
A=4626 B=6330 C=6273 X=395860857 Y=1182656657 Z=17209562989 M=8548
A=5909 B=4849 C=7686 X=158808455 Y=6706399562 Z=77656781256 M=2127
A=8821 B=3204 C=9286 X=232278523 Y=7559366310 Z=32258948594 M=6749
A=3363 B=6853 C=8655 X=644067397 Y=3578061050 Z=70638350927 M=3254
A=7794 B=8714 C=5926 X=737214054 Y=5690667713 Z=51439640558 M=1849
A=4193 B=7426 C=8091 X=822132406 Y=9409499527 Z=52827174241 M=3129
A=6064 B=9756 C=7795 X=481456977 Y=5630690332 Z=18369048224 M=2711
A=2585 B=9670 C=5910 X=350522933 Y=1599243465 Z=54066727290 M=7751
A=5761 B=8084 C=6156 X=214358594 Y=5688070583 Z=31576764398 M=1446
A=8191 B=9968 C=6445 X=452155221 Y=8999002888 Z=96589039480 M=7295
A=8174 B=6768 C=5455 X=361158630 Y=1956132665 Z=36498466653 M=5761
A=6800 B=4961 C=6507 X=478453507 Y=1494704723 Z=44228247556 M=1171
A=5167 B=9603 C=5901 X=961299852 Y=4980388126 Z=60781246679 M=6095
A=6328 B=6334 C=9089 X=558490982 Y=9033290728 Z=10958828588 M=2374
A=8162 B=5308 C=5993 X=382176872 Y=8861902942 Z=56829552977 M=6941
A=7710 B=7881 C=8277 X=210752558 Y=9126118320 Z=92818301402 M=8648
A=9176 B=3644 C=7162 X=108209946 Y=1204494980 Z=48538018717 M=5898
A=8299 B=4604 C=9217 X=273820696 Y=9685415173 Z=51485166986 M=7467
A=3317 B=4486 C=9534 X=200195251 Y=4964074015 Z=95391028344 M=9120
A=6204 B=5752 C=5754 X=163072851 Y=2696840771 Z=39016310197 M=6232
A=6248 B=9862 C=6068 X=354165940 Y=1513660479 Z=60872300681 M=5482
A=3470 B=9648 C=6691 X=968251062 Y=6212938584 Z=72959924947 M=1653
A=2859 B=4336 C=7686 X=300810607 Y=9944940092 Z=57171247863 M=4774
A=7705 B=9651 C=9696 X=815694248 Y=1293055508 Z=39588949183 M=5362
A=5207 B=7083 C=6561 X=629478607 Y=3093445291 Z=67707706230 M=7892
A=9535 B=6636 C=7061 X=552016250 Y=2881362389 Z=59107088915 M=6302
A=3956 B=3909 C=9650 X=327139219 Y=8399002230 Z=14519934109 M=9102
A=9924 B=9021 C=9818 X=732551280 Y=4148235872 Z=46581650695 M=3806
A=2808 B=6871 C=6519 X=673631272 Y=6062275175 Z=73968467430 M=6093
A=2694 B=6457 C=7094 X=408673781 Y=9607850412 Z=15443091892 M=7375
A=9112 B=6769 C=6229 X=620630395 Y=4741585429 Z=89908458673 M=6463
A=9545 B=8246 C=9053 X=993559058 Y=1741290283 Z=22590485477 M=6252
A=8216 B=4016 C=8648 X=225325399 Y=6013454970 Z=38262241285 M=1929
A=6780 B=6202 C=9783 X=604362410 Y=6909386612 Z=89904274152 M=5135
A=3678 B=9624 C=5677 X=788980738 Y=6567155308 Z=94768432704 M=4130
A=8979 B=8432 C=9364 X=225104689 Y=2329579147 Z=99759634936 M=9918
A=3181 B=4161 C=9633 X=701956010 Y=8415963462 Z=20596034771 M=9061
A=7156 B=3055 C=6957 X=886255462 Y=2187338194 Z=59115819201 M=2717
A=4609 B=3766 C=6744 X=410688833 Y=1243454517 Z=27126808701 M=6060
A=8989 B=5663 C=8208 X=373109961 Y=8641944497 Z=58329612723 M=6934
A=9998 B=8807 C=7863 X=117189967 Y=7537597814 Z=78444688185 M=9765
A=7932 B=4616 C=8555 X=683227804 Y=9023678691 Z=16917832265 M=2991
A=8273 B=9158 C=8359 X=910020551 Y=3653992990 Z=98705392196 M=3286
A=8935 B=3401 C=9985 X=766695743 Y=7853107360 Z=24578509725 M=6337
A=9944 B=7059 C=6595 X=204325057 Y=5713935744 Z=37844370826 M=6744
A=6916 B=5770 C=8182 X=672773054 Y=1422996642 Z=34448279825 M=8979
A=9307 B=4868 C=7812 X=653032101 Y=1127808077 Z=11393437767 M=7196
A=5167 B=4766 C=5888 X=835031491 Y=3822350954 Z=64366674323 M=6703
A=2715 B=4592 C=9302 X=400968171 Y=2448939638 Z=91515588183 M=3954
A=4677 B=3026 C=5728 X=736749918 Y=6606186686 Z=20963419844 M=4516
A=6729 B=8363 C=5638 X=874727548 Y=6606781598 Z=81305811609 M=8152
A=7267 B=5726 C=9627 X=956538591 Y=8118291434 Z=82374512440 M=9545
A=6059 B=3782 C=5392 X=870400216 Y=9762342239 Z=86098458163 M=4776
A=5316 B=9116 C=7838 X=193233047 Y=4872932297 Z=30241355870 M=2745
A=3145 B=4024 C=7188 X=283952646 Y=1370902477 Z=86694282481 M=4036
A=9872 B=8695 C=7901 X=137202532 Y=8746671251 Z=87009237302 M=3582
A=9297 B=8137 C=6985 X=768552210 Y=3091277225 Z=80669489910 M=4353
A=2273 B=8109 C=7765 X=751132023 Y=2009862225 Z=38754909126 M=7617
A=3874 B=4566 C=7548 X=805374764 Y=7890372073 Z=29605895072 M=6679
A=2397 B=6318 C=8142 X=360783581 Y=6042335084 Z=11956170043 M=7651
A=3016 B=6224 C=9163 X=229527343 Y=4111050002 Z=17834617385 M=1263
A=9008 B=6010 C=6121 X=638958305 Y=2656533890 Z=21474996866 M=6582
A=9570 B=4499 C=6195 X=874230259 Y=7168979336 Z=23739431716 M=9979
A=7883 B=6530 C=6017 X=347515029 Y=6773277325 Z=22895772322 M=3989
A=6170 B=6249 C=9433 X=977599423 Y=1153584222 Z=67061405954 M=7125
A=8093 B=8379 C=7352 X=918362108 Y=6082190975 Z=26625836139 M=3993
A=4380 B=8015 C=5211 X=976421188 Y=3829804681 Z=57043309615 M=6233
A=5838 B=8345 C=8469 X=403172300 Y=2958872506 Z=61626719030 M=7460
A=6273 B=3367 C=6453 X=274374105 Y=7107833560 Z=65185976986 M=5776
A=9093 B=9833 C=6537 X=596979177 Y=3490291944 Z=97991552207 M=4158
A=5513 B=6745 C=8326 X=942787666 Y=2694264777 Z=37897781045 M=5606
A=4165 B=3288 C=8598 X=486144735 Y=8396053546 Z=53747669338 M=5452
A=4409 B=5680 C=9332 X=653498131 Y=3505206330 Z=93666225770 M=9305
A=5347 B=3011 C=9945 X=803549351 Y=9584563549 Z=87123639409 M=1730
A=8212 B=3569 C=6979 X=275632715 Y=9395449258 Z=24565555716 M=4164
A=6233 B=9507 C=8137 X=449336786 Y=1063718732 Z=39255598055 M=8337
A=8462 B=4151 C=7478 X=359870962 Y=3139061722 Z=18871315753 M=8471
A=7311 B=3959 C=8469 X=776357038 Y=5067268643 Z=28011742916 M=6454
A=9667 B=7435 C=6896 X=199600724 Y=3947261846 Z=69740143667 M=7081
A=4473 B=8291 C=6987 X=923883795 Y=1707635204 Z=85389999083 M=2031
A=5849 B=4603 C=9105 X=442483031 Y=4236147484 Z=22341437733 M=5088
A=3496 B=5925 C=9097 X=577322167 Y=5782832013 Z=52485833113 M=6536
A=7868 B=4948 C=8735 X=914810134 Y=3275988690 Z=34514199328 M=1423
A=5199 B=7648 C=7454 X=719570321 Y=8917406962 Z=44864040716 M=1164
A=4275 B=3270 C=5283 X=829105007 Y=8811450109 Z=90361752255 M=5694
A=5025 B=3256 C=8123 X=707519287 Y=1730200198 Z=30597091379 M=7418
A=5805 B=8406 C=6568 X=282311967 Y=9106198875 Z=10708383541 M=8092
A=5909 B=7500 C=6243 X=475190819 Y=2224795367 Z=54760263318 M=9567
A=2982 B=3131 C=9515 X=726328340 Y=5869414304 Z=14182909526 M=2378
A=9720 B=8514 C=8398 X=304187586 Y=1014443177 Z=72429429969 M=6796
A=5990 B=7081 C=7110 X=300430892 Y=3867081997 Z=75757285230 M=6645
A=9041 B=4955 C=9193 X=101623572 Y=8860302632 Z=15830279808 M=1336
A=9105 B=3554 C=7763 X=211537201 Y=8089821715 Z=70984639832 M=6147
A=9135 B=9227 C=8139 X=654968931 Y=4520379174 Z=94651228951 M=7312
A=4164 B=7623 C=8924 X=565177248 Y=6941116655 Z=78377472668 M=2973
A=2582 B=8563 C=5025 X=306843485 Y=9840833766 Z=31133592322 M=1547
A=8735 B=3057 C=8136 X=179059174 Y=2023150657 Z=48814184188 M=6406
A=9871 B=5509 C=8896 X=885974750 Y=6858557111 Z=16359549785 M=4811
